BKG PROBABILITY; BKG ERROR; SIGNAL PROBABILITY; SIGNAL ERROR
0.700556;0.016885;0.299417;0.0153144
0.687871;0.011883;0.312106;0.0108368
0.68707;0.00976085;0.312907;0.00888395
0.694966;0.00840936;0.305005;0.00764611
0.693505;0.00748597;0.306467;0.0068224
0.697427;0.00689955;0.302542;0.00625237
0.698772;0.00615786;0.301228;0.00566242
0.700093;0.00587213;0.299908;0.00539672
0.70027;0.00562986;0.299697;0.00510186
0.696911;0.00536026;0.303058;0.00485498
0.697602;0.00508357;0.302366;0.00461376
0.697215;0.00502376;0.302754;0.00450157
0.69681;0.00473459;0.303159;0.00427626
0.698578;0.00448913;0.30139;0.00407881
0.698717;0.00433987;0.301251;0.00394262
0.698613;0.00420814;0.301355;0.00382079
0.698889;0.00423561;0.301078;0.00378977
0.697675;0.00410163;0.302293;0.0036772
0.69765;0.00389532;0.302318;0.0035257
0.69771;0.00379158;0.302258;0.00343267
0.698134;0.00354805;0.301867;0.00326357
0.697453;0.00363989;0.302515;0.00328707
0.697729;0.00353195;0.302239;0.0031982
0.698132;0.00343025;0.301835;0.00311522
0.698671;0.00331609;0.301329;0.00304912
0.69864;0.00332067;0.301327;0.0030056
0.698299;0.00319052;0.301702;0.00293413
0.698728;0.00322973;0.301239;0.00291338
0.698957;0.00301798;0.301044;0.00277505
0.699379;0.00296757;0.300622;0.00272825
0.699906;0.00291928;0.300095;0.00268323
0.699288;0.00297043;0.300679;0.00269611
0.698941;0.00299002;0.301026;0.00269086
0.698712;0.00278572;0.301289;0.00256163
0.698555;0.00274515;0.301446;0.00252444
0.698738;0.00280113;0.301229;0.00254258
0.698704;0.0026702;0.301297;0.00245545
0.699039;0.00275366;0.300928;0.00248993
0.69873;0.00260045;0.30127;0.00239126
0.69896;0.00275091;0.301007;0.00246476
0.698878;0.00253719;0.301123;0.00233315
0.698122;0.00263654;0.301846;0.00237949
0.698163;0.00252797;0.301838;0.00232509
0.697429;0.00254177;0.30254;0.00230581
0.697461;0.00254583;0.302507;0.00229838
0.697611;0.00256292;0.302358;0.00229806
0.697864;0.00249216;0.302104;0.00224907
0.69809;0.00246584;0.301878;0.00222511
0.698435;0.00236728;0.301565;0.0021769
0.698508;0.00239588;0.30146;0.00216856
0.698718;0.00232084;0.301283;0.00213402
0.698966;0.00225155;0.301035;0.00207032
0.698983;0.00233062;0.300985;0.00210771
0.698909;0.00230587;0.301058;0.00208641
0.699028;0.00230521;0.300939;0.00207875
0.698996;0.00221512;0.301004;0.00203663
0.699169;0.00215054;0.300832;0.00197732
0.698842;0.00213139;0.301159;0.00195991
0.698714;0.00215764;0.301286;0.00198397
0.698552;0.0022488;0.301415;0.00201452
0.698805;0.00212187;0.301195;0.00195099
0.698221;0.00221084;0.301747;0.00198097
0.698388;0.0020443;0.301613;0.00188014
0.698429;0.00202814;0.301572;0.00186523
0.698727;0.00201292;0.301274;0.00185107
0.699015;0.00204018;0.300986;0.00187577
0.699455;0.00202528;0.300546;0.00186176
0.699068;0.00205341;0.300899;0.00185842
0.698822;0.00202421;0.301145;0.00183676
0.698856;0.00204471;0.301112;0.00184356
0.699021;0.00192615;0.30098;0.00177112
0.698941;0.0020113;0.301026;0.00181533
0.698977;0.00206096;0.30099;0.00183906
0.699162;0.00201693;0.300805;0.00180931
0.699046;0.0020166;0.300921;0.0018048
0.699271;0.00190165;0.30073;0.0017483
0.699313;0.00184971;0.300688;0.00170068
0.699124;0.0019386;0.300843;0.00174758
0.699008;0.00182581;0.300993;0.00167889
0.699007;0.00181422;0.300994;0.00166821
0.698883;0.00188143;0.301085;0.00170306
0.698986;0.00192718;0.300981;0.00172505
0.698724;0.0017806;0.301277;0.00163743
0.698988;0.00180819;0.301012;0.0016625
0.698838;0.00185045;0.301129;0.00167035
0.698474;0.00174927;0.301527;0.00160883
0.698507;0.00173916;0.301493;0.00159951
0.698386;0.00172913;0.301615;0.00159035
0.69841;0.00183468;0.301557;0.00164788
0.698192;0.00179658;0.301776;0.00162301
0.698636;0.00173722;0.301365;0.00159752
0.698657;0.00175393;0.301311;0.00159148
0.698426;0.00175467;0.301542;0.00158886
0.698313;0.00174505;0.301655;0.0015803
0.698301;0.0017499;0.301667;0.00158001
0.698139;0.00169063;0.301861;0.00155492
0.698386;0.00171796;0.301582;0.00155565
0.698365;0.00169878;0.301603;0.00154162
0.698057;0.00169013;0.301912;0.00153404
0.698051;0.00165636;0.30195;0.00152344
0.698156;0.00161333;0.301845;0.00148395
0.698307;0.0016874;0.301661;0.0015241
0.698563;0.00167951;0.301404;0.00151666
0.6987;0.0016513;0.301268;0.00149772
0.698728;0.00165512;0.30124;0.00149736
0.698891;0.00168159;0.301076;0.00150995
0.698768;0.00162481;0.3012;0.00147463
0.69892;0.00161813;0.301047;0.00146806
0.698901;0.00155321;0.3011;0.00142823
0.699034;0.00162577;0.300934;0.0014677
0.699033;0.00159829;0.300934;0.00144932
0.69893;0.00163466;0.301038;0.00146796
0.698726;0.00152539;0.301274;0.00140277
0.698648;0.00151867;0.301353;0.00139665
0.698733;0.00151203;0.301268;0.00139048
0.69865;0.00160556;0.301317;0.00144233
0.698735;0.00149896;0.301266;0.00137845
0.698703;0.00149243;0.301298;0.00137244
0.698816;0.00154119;0.301152;0.00139837
0.698908;0.00157914;0.301059;0.00141838
0.698982;0.00154971;0.300985;0.00139917
0.698865;0.00156637;0.301103;0.00140674
0.698787;0.00146177;0.301214;0.00134421
0.698934;0.0015197;0.301034;0.00137567
0.699228;0.00145018;0.300772;0.00133332
0.699263;0.00144436;0.300738;0.00132794
0.69925;0.00143864;0.300751;0.00132269
0.699134;0.00146429;0.300867;0.0013462
0.699025;0.00148125;0.300942;0.00134348
0.698996;0.00148436;0.300972;0.00134368
0.698845;0.0014163;0.301155;0.00130237
0.698824;0.00150491;0.301143;0.00135186
0.699053;0.00145793;0.300915;0.00132273
0.699198;0.00143105;0.300803;0.00131561
0.699184;0.00147586;0.300784;0.00132934
0.699248;0.00146207;0.30072;0.00131972
0.699173;0.00138482;0.300828;0.00127322
0.699317;0.00145101;0.30065;0.00130971
0.699221;0.00137463;0.30078;0.0012638
0.69923;0.00139975;0.300771;0.00128677
0.699297;0.00141578;0.300671;0.00128416
0.699166;0.00141486;0.300802;0.00128216
0.699232;0.00138498;0.300769;0.00127319
0.699088;0.00135036;0.300913;0.00124154
0.699073;0.00134571;0.300927;0.00123727
0.698937;0.00140991;0.301031;0.00127308
0.698892;0.00139528;0.301076;0.00126297
0.698805;0.00133171;0.301195;0.00122451
0.698746;0.00137763;0.301221;0.00124962
0.698823;0.00137304;0.301145;0.00124536
0.698818;0.00131838;0.301183;0.00121224
0.698879;0.00136352;0.301089;0.00123717
0.698943;0.0013097;0.301058;0.00120419
0.698927;0.00135455;0.301041;0.00122875
0.698792;0.00130116;0.301209;0.00119642
0.698935;0.00135457;0.301033;0.00122611
0.698955;0.0013804;0.301012;0.00123972
0.69897;0.00128884;0.301031;0.00118501
0.69915;0.00137049;0.300818;0.00123091
0.699171;0.00132925;0.300797;0.00120543
0.699337;0.00127696;0.300664;0.00117394
0.699378;0.00135867;0.300589;0.00121986
0.699371;0.00133022;0.300597;0.00120223
0.699429;0.00131342;0.300539;0.00119083
0.6995;0.0013176;0.300467;0.00119228
0.699473;0.00131374;0.300494;0.00118878
0.69946;0.00130507;0.300508;0.00118246
0.699333;0.00125009;0.300668;0.00114926
0.699418;0.00130374;0.30055;0.00117915
0.699397;0.00124271;0.300604;0.00114244
0.699273;0.00132173;0.300695;0.00118719
0.699227;0.00128396;0.300741;0.00116379
0.699233;0.00129734;0.300735;0.00117056
0.699252;0.0012758;0.300716;0.0011569
0.699142;0.00130667;0.300826;0.00117373
0.699286;0.00124833;0.300715;0.00114756
0.699194;0.00121773;0.300807;0.00111956
